,Unnamed: 0,name,year,score,voters_count,plot
157,157," The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,427K,"While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen."
158,158, Porky's,1981,6.2,46K,"In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them."
159,159, Malena,2000,7.4,112K,"Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town."
160,160, Total Recall,1990,7.5,353K,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?"
161,161, Better Off Dead,1985,7.1,49K,"After his girlfriend ditches him for a boorish ski jock, Lane decides that suicide is the only answer. However, his increasingly inept attempts bring him only more agony and embarrassment. Filled with the wildest teen nightmares."
162,162, Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1.4M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
163,163, Harry Potter and the Chamber of Secrets,2002,7.4,690K,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.
164,164, Batman,1989,7.5,403K,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker."
165,165, Point Break,1991,7.3,201K,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.
166,166, Love Story,1970,6.9,37K,A boy and a girl from different backgrounds fall in love regardless of their upbringing - and then tragedy strikes.
167,167, Kindergarten Cop,1990,6.2,162K,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminal's ex-wife, who may hold the key to putting him behind bars."
168,168, The Thing,1982,8.2,464K,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
169,169, The Day After Tomorrow,2004,6.5,475K,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age."
170,170, Dodgeball: A True Underdog Story,2004,6.7,266K,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.
171,171, Napoleon Dynamite,2004,7.0,237K,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home."
172,172, Black Hawk Down,2001,7.7,422K,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
173,173, Brokeback Mountain,2005,7.7,381K,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
174,174, L.A. Confidential,1997,8.2,616K,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
175,175, The Pianist,2002,8.5,907K,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive."
